artist_id,ME,Pred
01f779574de9abd3ffb33b4286b5cc6b,347.393103475,347.393103475
0244fbab306479a448862eb56867cf39,326.265784685,325.401764089
03c6699ea836decbc5c8fc2dbae7bd3b,511.849804312,545.918672316
047e692906834bd3c24f99cdf11a3993,758.875907551,755.777373791
04a1b8326c6f53901d829b7f6bf7596d,307.733614288,307.733614288
05043c0eaab813ea4d6ebbee5844dae2,437.725577461,436.018374238
060214040ef4ef128267adb0f716fb67,766.232959426,760.909443646
0c5492d0dd8873518c44eaa6947f53ef,521.950645327,517.448499295
0cacd1e0e44cb80589d056b6dd059110,213.115296098,229.224642546
0ee6f9d13f27455adb0f017d2aff58da,1947.13815622,2004.73358376
0f508344965c16824decb82e6cbae471,226.456083274,295.060582662
1017849ad392fea91f593841da3ca41e,874.386390326,874.386390326
110fc5bcbd0cecc09e365f58349aa60f,439.075075667,827.650913137
12c6e4e3caec138023d10d8cfd477956,608.040388245,608.040388245
13ab6d88f7b4466a323c973e8ab46e08,319.097330986,320.646603757
159ef9d267d94053697db4d219ec7096,306.496811344,305.385256454
15f31086578d9813130d151cb0b18e7e,499.78673465,586.581484311
161ebd6bf76f2e3df59019f3039854fa,220.627436225,220.627436225
16d95754e6dae210d3cc1d876ece2927,745.819027501,719.653463568
1731019fbaa825714d5f8e61ad1bb7ff,373.193905437,414.614177027
1983624035fcbe4e9b3af0ea474dbe32,265.212642698,272.133565865
1b890efddbee3a159f106c01dc7c5843,264.158620883,262.400337385
1be7c39aa8266e959dc1c5cb1d102941,373.632648196,403.166306555
1e777fade742c08054debab1880eb6c6,222.167309362,220.799941331
1ee6248ffca447e34eebf0faf4854e73,637.272124494,637.272124494
20946459ca22b40553804671109e821d,224.616454024,217.377806345
209c3ac37651f1bef4996b7d56a31adf,1190.5795128,1194.14999388
20c5b6c0c4a807ea55f625ff9b5ebccd,714.857520203,714.8511765
20d8a5d82a3572405f1e839a36cf75fd,313.871107789,321.143414024
290457531ef49119be23838bc37f24b4,347.234182389,368.405158061
29445d6aedad227636c9c5794319c431,1223.79072221,1223.33201077
2a22fd019e265d4107f0284f8ff791ca,245.631694655,249.354959363
2a26498c579732cf3da0e13578d0cfab,304.671659108,300.178495216
2b7fedeea967becd9408b896de8ff903,34.7320668365,34.7320668365
2bc52f5bde454d69ea3d99a482e74741,128.148969475,127.475137145
300dde62b988fc83eb6dba1b702e9af3,1269.32535763,1342.93814813
30142a239cff2340697f42d5b4533a01,-292.525653005,-289.92738257
312e4880a3c70f9237c6708998b18e8e,326.825401644,327.735801303
316afe224e611896287311180a1dcfec,1070.68962421,1070.68962421
327c09c94e00a6b2d5f9e734011e3fa8,100.937187509,100.591451186
3395de8b469ebabc35983e3bf4725f85,923.702655835,923.016965889
33fd0a2cfcfd24e114707bba71ca1de9,269.466802683,268.704319007
38e563133c932312ca9813a75135ec74,774.207436646,759.0137898
3964ee41d4e2ade1957a9135afe1b8dc,470.003647867,475.065057867
39d86b4bf80ae6168a2aa7f237d541ea,1013.28198172,1004.30451509
3a4279b36c4afdb87fc528737fb4addb,422.958250399,422.727863974
3b59be58686f720bf5e41cebfde30d8e,1013.50105964,1008.60375683
3beda26e68b054526ea736ff43712a19,1041.38760856,1033.75697661
3c6a8876d139ef5405bed02aa3eac743,320.346381978,421.544411214
4057f53bdd70c3c00fbaa2be55cd24b2,206.078804633,253.609106547
40d94a7d8fa081b03069aa5b2b2c81e5,461.401057677,461.570444996
445a257964b9689f115a69e8cc5dcb75,87.3856503558,100.393056056
45393cc48301f99566561bd13cdfb7ff,262.664500407,264.692812689
458f8ff69c0846b66540ed903e1bff37,-51.1422235664,251.494435475
